;rt_user;t_user;user_id;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
24;Coquelin;SouveraineTech;3296966980;20;0;Wed Mar 22 19:48:14 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
25;Génération Frexit;SouveraineTech;1,2815E+18;20;0;Wed Mar 22 19:46:46 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
26;Points of interests;SouveraineTech;2382346627;20;0;Wed Mar 22 19:24:48 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
27;Stéphane Pagano;SouveraineTech;269670848;20;0;Wed Mar 22 19:22:10 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
28;L'urgence c'est de suite;SouveraineTech;1,41637E+18;20;0;Wed Mar 22 19:21:55 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
29;Nicole;SouveraineTech;8,56628E+17;20;0;Wed Mar 22 19:14:22 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
30;Le mégot de Notre-Dame;SouveraineTech;1,19578E+18;20;0;Wed Mar 22 19:04:02 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
31;Aliénor;SouveraineTech;3077629085;20;0;Wed Mar 22 19:01:17 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
32;Open-Root;SouveraineTech;925500085;20;0;Wed Mar 22 18:52:24 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
33;Diane Lagrange;SouveraineTech;1,2326E+18;20;0;Wed Mar 22 18:50:54 +0000 2023;True;[{'text': 'Microsoft', 'indices': [108, 118]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}];RT @SouveraineTech: Bravo ! Il nous faut sortir du piège des partis, et sortir nos données de santé de chez #Microsoft ! Il nous faut plus…
